assignment_id,employee_id,project_id,role,start_date,end_date,allocation_pct,is_billable
fe89fb84,E6647,P2021010,IoT Architect,2021-10-30,2022-03-11,83,True
4a78591d,E4481,P2021010,Embedded Engineer,2021-10-30,2022-03-11,97,False
b52680ba,E8593,P2021010,Junior Embedded Engineer,2021-10-30,2022-03-11,80,True
2463523f,E7350,P2021010,Embedded Engineer,2021-10-30,2022-03-11,99,True
b65f6568,E7551,P2021010,IoT Architect,2021-10-30,2022-03-11,81,True
d5dac0cf,E7956,P2021010,Embedded Engineer,2021-10-30,2022-03-11,80,True
c4bac486,E7047,P2021011,Cloud Architect,2021-12-31,2023-02-27,84,True
1a7dcb72,E7523,P2021011,DevOps Engineer,2021-12-31,2023-02-27,92,True
6e524a97,E3262,P2021011,Junior DevOps Engineer,2021-12-31,2023-02-27,84,True
49fc6922,E4460,P2021011,DevOps Engineer,2021-12-31,2023-02-27,90,True
bc68ce75,E6563,P2021011,DevOps Engineer,2021-12-31,2023-02-27,81,True
b8bd5273,E7974,P2021011,DevOps Engineer,2021-12-31,2023-02-27,91,True
0fe61ed5,E7337,P2021011,DevOps Engineer,2021-12-31,2023-02-27,80,True
d888cfdd,E1570,P2021011,DevOps Engineer,2021-12-31,2023-02-27,81,True
fcecf627,E3941,P2021011,DevOps Engineer,2021-12-31,2023-02-27,80,True
48c390a8,E9476,P2021011,Solutions Architect,2021-12-31,2023-02-27,85,True
4c8be59a,E2353,P2021011,Junior DevOps Engineer,2021-12-31,2023-02-27,95,False
6438bc77,E7626,P2021011,DevOps Engineer,2021-12-31,2023-02-27,93,True
5def4791,E5963,P2021012,IoT Architect,2023-04-03,2023-12-05,93,True
07f5ce1f,E8377,P2021012,Embedded Engineer,2023-04-03,2023-12-05,97,False
dbd30d58,E6489,P2021012,Embedded Engineer,2023-04-03,2023-12-05,94,True
2b2073ab,E2829,P2021012,Junior Embedded Engineer,2023-04-03,2023-12-05,93,False
9ac867cd,E9711,P2021012,Embedded Engineer,2023-04-03,2023-12-05,82,True
d7ae6332,E3463,P2021012,Embedded Engineer,2023-04-03,2023-12-05,81,False
8d3dd498,E4237,P2021012,Embedded Engineer,2023-04-03,2023-12-05,99,True
521ee21c,E8125,P2021012,Embedded Engineer,2023-04-03,2023-12-05,82,True
e1b16c15,E1652,P2021012,Embedded Engineer,2023-04-03,2023-12-05,100,True
5aa445de,E8540,P2021012,Embedded Engineer,2023-04-03,2023-12-05,98,True
4f4e51cf,E3928,P2021013,Pentester,2021-02-18,2021-12-22,93,True
c6a83cef,E1287,P2021013,Pentester,2021-02-18,2021-12-22,85,True
1c731551,E1583,P2021013,Pentester,2021-02-18,2021-12-22,96,True
f5b8cf0a,E1599,P2021013,SOC Analyst,2021-02-18,2021-12-22,83,True
a339da70,E5073,P2021013,SOC Analyst,2021-02-18,2021-12-22,100,True
16e7e387,E2549,P2021013,SOC Analyst,2021-02-18,2021-12-22,86,True
08eb954d,E9084,P2021013,Security Architect,2021-02-18,2021-12-22,89,True
f5c94191,E6658,P2021013,Pentester,2021-02-18,2021-12-22,82,True
7e6b91cc,E2656,P2021014,Blockchain Developer,2023-02-03,2023-03-24,82,True
880eef13,E6534,P2021014,Blockchain Developer,2023-02-03,2023-03-24,81,True
4cc48678,E7922,P2021014,Junior Smart Contract Engineer,2023-02-03,2023-03-24,100,False
3add349f,E5208,P2021014,Blockchain Developer,2023-02-03,2023-03-24,95,False
52fc8cb9,E5502,P2021015,BI Specialist,2023-08-27,2024-01-14,81,True
4ce83f76,E5535,P2021015,Data Engineer,2023-08-27,2024-01-14,97,True
aa105a92,E7531,P2021015,Data Engineer,2023-08-27,2024-01-14,87,False
f9c3d9a0,E4683,P2021016,Digital Strategist,2022-10-14,2023-01-01,100,True
8ff2f2e1,E4621,P2021016,Change Manager,2022-10-14,2023-01-01,98,False
819501c6,E8547,P2021016,Change Manager,2022-10-14,2023-01-01,87,True
5077a33f,E9871,P2021016,Change Manager,2022-10-14,2023-01-01,89,True
77ac902b,E6618,P2021016,Digital Strategist,2022-10-14,2023-01-01,81,True
a590fd25,E8280,P2021016,Change Manager,2022-10-14,2023-01-01,92,True
f2b11262,E4451,P2021016,Change Manager,2022-10-14,2023-01-01,90,True
2ff16f6f,E7390,P2021016,Digital Strategist,2022-10-14,2023-01-01,99,True
2d887380,E2287,P2021016,Digital Strategist,2022-10-14,2023-01-01,85,True
17c5a6b9,E2361,P2021016,Change Manager,2022-10-14,2023-01-01,86,True
db8fea68,E5981,P2021016,Change Manager,2022-10-14,2023-01-01,98,True
50dd342b,E8397,P2021016,Change Manager,2022-10-14,2023-01-01,87,True
092b7405,E9040,P2021017,BI Specialist,2021-02-17,2022-04-07,82,False
9dce4860,E9807,P2021017,Junior BI Specialist,2021-02-17,2022-04-07,91,True
549edc54,E3023,P2021017,Analytics Consultant,2021-02-17,2022-04-07,93,True
1e902e7d,E4462,P2021017,Data Engineer,2021-02-17,2022-04-07,83,True
11269de1,E5740,P2021017,Junior Analytics Consultant,2021-02-17,2022-04-07,91,False
5b2d5177,E7571,P2021017,Data Engineer,2021-02-17,2022-04-07,93,False
216bcf65,E9107,P2021018,Functional Analyst,2023-03-15,2023-08-07,89,True
3b1c60bf,E8363,P2021018,Functional Analyst,2023-03-15,2023-08-07,87,True
4a5b0e2a,E7554,P2021018,ERP Consultant,2023-03-15,2023-08-07,80,True
22c9c34f,E8602,P2021018,Functional Analyst,2023-03-15,2023-08-07,81,True
6598c23e,E7280,P2021018,ERP Consultant,2023-03-15,2023-08-07,92,True
7dc10286,E7852,P2021018,Functional Analyst,2023-03-15,2023-08-07,91,True
f0434a56,E4673,P2021018,ERP Consultant,2023-03-15,2023-08-07,96,True
fd124ce6,E7697,P2021018,ERP Consultant,2023-03-15,2023-08-07,97,True
a3672479,E5095,P2021018,Junior Functional Analyst,2023-03-15,2023-08-07,84,True
81f7ed05,E2490,P2021018,Functional Analyst,2023-03-15,2023-08-07,87,False
a5afb237,E7378,P2021018,Junior ERP Consultant,2023-03-15,2023-08-07,87,True
1e19c443,E1506,P2021019,Blockchain Developer,2021-09-29,2022-03-28,98,True
6a290b41,E8523,P2021019,Smart Contract Engineer,2021-09-29,2022-03-28,84,True
6acff997,E4963,P2021019,Smart Contract Engineer,2021-09-29,2022-03-28,84,True
fb232d3e,E9195,P2021019,Smart Contract Engineer,2021-09-29,2022-03-28,82,True
3b0a1265,E3609,P2021019,Smart Contract Engineer,2021-09-29,2022-03-28,95,True
3d93f1db,E1112,P2021019,Blockchain Developer,2021-09-29,2022-03-28,91,True
c0510284,E9803,P2021020,Data Scientist,2023-05-05,2024-10-06,93,False
92b25aa4,E8184,P2021020,AI Architect,2023-05-05,2024-10-06,87,True
5e5dfb6f,E1979,P2021020,NLP Specialist,2023-05-05,2024-10-06,95,True
d435724a,E1653,P2021020,NLP Specialist,2023-05-05,2024-10-06,85,True
5f6507cc,E8021,P2021020,NLP Specialist,2023-05-05,2024-10-06,83,True
3a644120,E3391,P2021020,ML Engineer,2023-05-05,2024-10-06,83,True
17ed9133,E2831,P2021020,Junior NLP Specialist,2023-05-05,2024-10-06,98,False
92b3ede7,E7764,P2021020,Data Scientist,2023-05-05,2024-10-06,85,True
db736f86,E5259,P2021021,Security Architect,2023-10-04,2024-11-22,99,True
2473ce5b,E8285,P2021021,SOC Analyst,2023-10-04,2024-11-22,93,True
b226f23c,E5225,P2021021,Pentester,2023-10-04,2024-11-22,98,True
c9d66b89,E3294,P2021021,Pentester,2023-10-04,2024-11-22,95,True
c063309b,E8787,P2021022,Change Manager,2021-11-21,2022-10-07,99,True
86819b55,E3530,P2021022,Change Manager,2021-11-21,2022-10-07,91,True
2d7a0c7f,E3400,P2021022,Digital Strategist,2021-11-21,2022-10-07,82,True
cc705682,E5215,P2021022,Change Manager,2021-11-21,2022-10-07,87,True
d4f6d0e5,E4467,P2021022,Digital Strategist,2021-11-21,2022-10-07,98,True
452877a8,E9209,P2021023,IoT Architect,2022-12-06,2023-11-30,97,True
0f5693b8,E7192,P2021023,Embedded Engineer,2022-12-06,2023-11-30,93,True
d3a33a5b,E3770,P2021023,Junior Embedded Engineer,2022-12-06,2023-11-30,99,True
e170e8e4,E3873,P2021023,Junior Embedded Engineer,2022-12-06,2023-11-30,84,True
c43146a5,E1233,P2021023,Embedded Engineer,2022-12-06,2023-11-30,95,True
5538ac9a,E6609,P2021023,Embedded Engineer,2022-12-06,2023-11-30,92,True
2c610c9d,E4675,P2021023,IoT Architect,2022-12-06,2023-11-30,89,True
144eddc2,E4226,P2021023,IoT Architect,2022-12-06,2023-11-30,94,False
29e4dbc6,E1199,P2021023,Embedded Engineer,2022-12-06,2023-11-30,95,True
7b1475e7,E4318,P2021023,Junior Embedded Engineer,2022-12-06,2023-11-30,92,True
62b9496b,E7528,P2021023,IoT Architect,2022-12-06,2023-11-30,84,True
ad8fb68d,E9313,P2021023,Embedded Engineer,2022-12-06,2023-11-30,93,True
2f874bf7,E5015,P2021024,Analytics Consultant,2022-01-10,2023-01-28,91,True
172d09db,E8472,P2021024,Analytics Consultant,2022-01-10,2023-01-28,80,False
645aa5f7,E5354,P2021024,Analytics Consultant,2022-01-10,2023-01-28,83,True
7dcccc1f,E4113,P2021024,Data Engineer,2022-01-10,2023-01-28,99,False
7f8c2215,E3171,P2021024,Data Engineer,2022-01-10,2023-01-28,89,True
56f9eef2,E4403,P2021024,Data Engineer,2022-01-10,2023-01-28,86,True
1e082371,E8819,P2021024,Analytics Consultant,2022-01-10,2023-01-28,82,True
09d75398,E2636,P2021025,Data Engineer,2021-06-20,2022-03-20,88,True
69f03c02,E8982,P2021025,Data Engineer,2021-06-20,2022-03-20,84,True
d68b2b05,E8041,P2021025,Data Engineer,2021-06-20,2022-03-20,88,True
b6fa4894,E8252,P2021025,Junior Data Engineer,2021-06-20,2022-03-20,88,True
fee261c8,E8475,P2021025,Data Engineer,2021-06-20,2022-03-20,85,True
da6619d7,E7671,P2021025,Junior BI Specialist,2021-06-20,2022-03-20,91,True
7c175184,E5510,P2021026,DevOps Engineer,2023-12-26,2024-05-31,84,True
f6a83f66,E8209,P2021026,DevOps Engineer,2023-12-26,2024-05-31,99,True
68b318d0,E8988,P2021026,Cloud Architect,2023-12-26,2024-05-31,100,True
0dddd109,E8708,P2021026,Solutions Architect,2023-12-26,2024-05-31,89,True
9ff02773,E2074,P2021026,DevOps Engineer,2023-12-26,2024-05-31,83,True
921e0546,E2549,P2021026,DevOps Engineer,2023-12-26,2024-05-31,96,True
582b4f21,E6610,P2021026,Junior DevOps Engineer,2023-12-26,2024-05-31,99,True
79e95862,E4171,P2021026,DevOps Engineer,2023-12-26,2024-05-31,95,True
5b8485f5,E4493,P2021026,DevOps Engineer,2023-12-26,2024-05-31,86,False
964c39fa,E4144,P2021027,Blockchain Developer,2021-11-13,2022-05-27,100,True
7850f7c4,E3587,P2021027,Blockchain Developer,2021-11-13,2022-05-27,89,True
cbdaaf67,E6335,P2021027,Blockchain Developer,2021-11-13,2022-05-27,96,True
d92b15e5,E7830,P2021027,Junior Smart Contract Engineer,2021-11-13,2022-05-27,85,True
5ab82cf8,E4747,P2021027,Smart Contract Engineer,2021-11-13,2022-05-27,83,False
ed77e7a9,E5974,P2021027,Junior Smart Contract Engineer,2021-11-13,2022-05-27,93,True
91ebd584,E6467,P2021027,Smart Contract Engineer,2021-11-13,2022-05-27,81,True
c3b26af9,E8368,P2021027,Smart Contract Engineer,2021-11-13,2022-05-27,80,True
47a30be9,E7834,P2021027,Smart Contract Engineer,2021-11-13,2022-05-27,80,True
2dca95ad,E1906,P2021027,Smart Contract Engineer,2021-11-13,2022-05-27,97,True
50bd6918,E6336,P2021028,Change Manager,2022-10-22,2023-06-27,87,True
4c191adb,E4522,P2021028,Digital Strategist,2022-10-22,2023-06-27,97,True
f9ea3605,E5488,P2021028,Change Manager,2022-10-22,2023-06-27,81,True
2887f034,E3628,P2021028,Digital Strategist,2022-10-22,2023-06-27,84,True
826ab75c,E8698,P2021028,Change Manager,2022-10-22,2023-06-27,91,True
2028b699,E7390,P2021028,Junior Digital Strategist,2022-10-22,2023-06-27,97,True
0fb90173,E5093,P2021028,Change Manager,2022-10-22,2023-06-27,100,True
c3f75920,E1971,P2021028,Change Manager,2022-10-22,2023-06-27,94,False
42bf7956,E6317,P2021029,AI Architect,2021-10-03,2023-01-26,89,True
0154e79d,E7779,P2021029,Junior NLP Specialist,2021-10-03,2023-01-26,81,True
f5d50eee,E5896,P2021029,Junior ML Engineer,2021-10-03,2023-01-26,90,True
ce5935a0,E2441,P2021029,NLP Specialist,2021-10-03,2023-01-26,87,True
31abea97,E9955,P2021029,Data Scientist,2021-10-03,2023-01-26,85,True
8b5d76d7,E9700,P2021029,Data Scientist,2021-10-03,2023-01-26,93,True
c4abe3bc,E1358,P2021029,Junior NLP Specialist,2021-10-03,2023-01-26,85,True
0eb3d2ca,E6143,P2021029,AI Architect,2021-10-03,2023-01-26,94,True
0a0fa1a3,E3298,P2021030,Blockchain Developer,2022-06-15,2022-11-22,100,True
750ae469,E8001,P2021030,Smart Contract Engineer,2022-06-15,2022-11-22,100,True
ad4f0f91,E1786,P2021030,Smart Contract Engineer,2022-06-15,2022-11-22,81,True
7ee560e2,E9392,P2021030,Junior Blockchain Developer,2022-06-15,2022-11-22,87,True
5ae12975,E1525,P2021030,Smart Contract Engineer,2022-06-15,2022-11-22,86,True
06fc10ca,E9827,P2021030,Junior Smart Contract Engineer,2022-06-15,2022-11-22,93,True
3f372291,E2099,P2021030,Smart Contract Engineer,2022-06-15,2022-11-22,99,True
44ce1902,E2840,P2021030,Blockchain Developer,2022-06-15,2022-11-22,85,True
fe8ff743,E8675,P2021030,Blockchain Developer,2022-06-15,2022-11-22,86,True
162aae84,E1351,P2021031,Functional Analyst,2022-11-27,2023-08-16,90,True
d718bd6e,E1104,P2021031,Functional Analyst,2022-11-27,2023-08-16,95,True
f06c1be0,E1309,P2021031,Functional Analyst,2022-11-27,2023-08-16,89,True
e9495fa4,E7998,P2021031,Functional Analyst,2022-11-27,2023-08-16,85,True
0f788544,E6351,P2021031,ERP Consultant,2022-11-27,2023-08-16,94,True
c5549a95,E1429,P2021032,Security Architect,2022-09-24,2023-01-24,89,True
96a9bfcd,E3086,P2021032,Pentester,2022-09-24,2023-01-24,87,True
6ab38421,E6365,P2021032,Pentester,2022-09-24,2023-01-24,83,True
32526cab,E4421,P2021032,Pentester,2022-09-24,2023-01-24,89,True
c9e76055,E7951,P2021032,Security Architect,2022-09-24,2023-01-24,92,True
006f92d5,E8320,P2021033,IoT Architect,2022-03-04,2022-10-14,81,True
7fe7eace,E4369,P2021033,Embedded Engineer,2022-03-04,2022-10-14,87,True
10981828,E2521,P2021033,Embedded Engineer,2022-03-04,2022-10-14,91,True
c5b3874e,E3668,P2021033,Junior Embedded Engineer,2022-03-04,2022-10-14,91,True
e41d31ef,E9013,P2021033,Embedded Engineer,2022-03-04,2022-10-14,90,False
7347fd3f,E6191,P2021033,Embedded Engineer,2022-03-04,2022-10-14,98,True
2065864d,E2487,P2021033,Embedded Engineer,2022-03-04,2022-10-14,100,True
e04bc6b7,E8831,P2021033,Embedded Engineer,2022-03-04,2022-10-14,81,True
85d27298,E8486,P2021033,IoT Architect,2022-03-04,2022-10-14,88,True
ccd455c3,E7881,P2021033,Embedded Engineer,2022-03-04,2022-10-14,88,True
6f846c82,E7384,P2021034,Digital Strategist,2022-09-08,2023-02-02,99,True
761a40cc,E5500,P2021034,Junior Digital Strategist,2022-09-08,2023-02-02,97,True
94976008,E1743,P2021034,Change Manager,2022-09-08,2023-02-02,99,True
00ac56c1,E3905,P2021034,Digital Strategist,2022-09-08,2023-02-02,83,True
f0b2d6f9,E3861,P2021035,Digital Strategist,2021-11-19,2022-07-21,82,True
8011e2bc,E3975,P2021035,Junior Digital Strategist,2021-11-19,2022-07-21,81,True
6856f16c,E3660,P2021035,Digital Strategist,2021-11-19,2022-07-21,86,True
a92eff9c,E6014,P2021035,Digital Strategist,2021-11-19,2022-07-21,82,True
3da6b2a1,E5344,P2021035,Change Manager,2021-11-19,2022-07-21,83,True
9f17d48f,E1423,P2021035,Digital Strategist,2021-11-19,2022-07-21,93,True
8a6404e2,E1560,P2021035,Change Manager,2021-11-19,2022-07-21,100,True
a8da54f0,E7679,P2021035,Digital Strategist,2021-11-19,2022-07-21,93,True
f3192c77,E9604,P2021035,Change Manager,2021-11-19,2022-07-21,82,True
13e1b7d5,E1244,P2021035,Digital Strategist,2021-11-19,2022-07-21,98,True
941fd18b,E2509,P2021035,Digital Strategist,2021-11-19,2022-07-21,83,True
b3f196cb,E2841,P2021035,Digital Strategist,2021-11-19,2022-07-21,84,True
0726bbea,E9847,P2021036,Data Scientist,2022-06-11,2022-09-14,99,True
eada8eb4,E8828,P2021036,AI Architect,2022-06-11,2022-09-14,87,True
08e754a7,E4215,P2021036,NLP Specialist,2022-06-11,2022-09-14,83,True
d64f9d18,E3336,P2021036,ML Engineer,2022-06-11,2022-09-14,90,False
55f9358c,E2553,P2021036,AI Architect,2022-06-11,2022-09-14,84,True
0958e918,E2724,P2021036,Data Scientist,2022-06-11,2022-09-14,83,True
dfb496d9,E4024,P2021036,Data Scientist,2022-06-11,2022-09-14,81,False
fde4159b,E6384,P2021036,Data Scientist,2022-06-11,2022-09-14,89,True
f4649bad,E9518,P2021036,Data Scientist,2022-06-11,2022-09-14,99,True
52fa3d88,E3157,P2021036,Data Scientist,2022-06-11,2022-09-14,100,True
068537b1,E4896,P2021037,AI Architect,2021-01-30,2021-05-13,82,True
d46669f9,E1191,P2021037,Data Scientist,2021-01-30,2021-05-13,91,True
7aa643ff,E6634,P2021037,Data Scientist,2021-01-30,2021-05-13,89,True
652cb828,E8407,P2021037,NLP Specialist,2021-01-30,2021-05-13,87,True
a7988174,E5305,P2021037,Junior Data Scientist,2021-01-30,2021-05-13,97,True
29af60ad,E5576,P2021037,ML Engineer,2021-01-30,2021-05-13,81,True
fd097447,E7988,P2021038,DevOps Engineer,2022-06-23,2022-08-24,92,True
78f02152,E2549,P2021038,DevOps Engineer,2022-06-23,2022-08-24,90,True
8d6af059,E2820,P2021038,DevOps Engineer,2022-06-23,2022-08-24,100,True
6e906d45,E5844,P2021038,Solutions Architect,2022-06-23,2022-08-24,86,True
0a8bfbd8,E6030,P2021038,DevOps Engineer,2022-06-23,2022-08-24,92,True
9ee85956,E9269,P2021038,DevOps Engineer,2022-06-23,2022-08-24,87,True
5893e22b,E4192,P2021038,Solutions Architect,2022-06-23,2022-08-24,99,False
65d592be,E4634,P2021038,Solutions Architect,2022-06-23,2022-08-24,92,True
aa594cf6,E7135,P2021039,ML Engineer,2022-04-17,2023-05-07,93,True
b0f7e2eb,E4707,P2021039,ML Engineer,2022-04-17,2023-05-07,88,True
8f085d5f,E3491,P2021039,Junior NLP Specialist,2022-04-17,2023-05-07,89,True
0d935265,E7947,P2021039,NLP Specialist,2022-04-17,2023-05-07,91,True
893f69f8,E1801,P2021039,Junior Data Scientist,2022-04-17,2023-05-07,98,False
bf67d04c,E5857,P2021039,Junior Data Scientist,2022-04-17,2023-05-07,84,True
b914096a,E8807,P2021039,NLP Specialist,2022-04-17,2023-05-07,89,True
acfc4297,E5915,P2021039,ML Engineer,2022-04-17,2023-05-07,96,True
f488ce56,E6105,P2021039,Data Scientist,2022-04-17,2023-05-07,94,False
c4d79d45,E1970,P2021039,AI Architect,2022-04-17,2023-05-07,84,True
2afe4708,E3355,P2021039,ML Engineer,2022-04-17,2023-05-07,99,True
488e97ff,E3022,P2021040,Functional Analyst,2021-10-15,2023-02-14,85,True
36d52f9d,E4372,P2021040,ERP Consultant,2021-10-15,2023-02-14,99,True
63f43f39,E6365,P2021040,Functional Analyst,2021-10-15,2023-02-14,95,True
91d3afa5,E9529,P2021040,ERP Consultant,2021-10-15,2023-02-14,85,True
927cf81d,E8718,P2021040,ERP Consultant,2021-10-15,2023-02-14,84,True
7faed610,E5895,P2021040,Functional Analyst,2021-10-15,2023-02-14,86,False
