record_id,project_id,tech_domain,department,cost,status,completion_pct,duration_months,milestones_missed,change_requests,risk_score
ERP2021021,P2021021,Cybersecurity,Data,961490340.11,On-Time,82,13,1,4,4
ERP2021022,P2021022,Digital Transformation,Data,1214416250.94,On-Time,98,10,1,4,4
ERP2021023,P2021023,IoT,Cloud,36725281.31,On-Time,92,11,1,2,4
ERP2021024,P2021024,Data Analytics,Data,12397150.16,On-Time,82,12,1,1,3
ERP2021025,P2021025,Data Analytics,Consulting,634347804.35,On-Time,93,9,1,5,3
ERP2021026,P2021026,Cloud Migration,Cloud,872272966.94,On-Time,95,5,1,1,3
ERP2021027,P2021027,Blockchain,Data,682005190.39,On-Time,81,6,0,1,1
ERP2021028,P2021028,Digital Transformation,Data,10965356.96,On-Time,83,8,0,3,5
ERP2021029,P2021029,AI/ML,Data,828276505.32,Delayed,56,16,1,3,9
ERP2021030,P2021030,Blockchain,Development,1017103055.53,Delayed,83,5,1,1,3
ERP2021031,P2021031,ERP Implementation,Data,5068956.52,On-Time,86,8,0,0,5
ERP2021032,P2021032,Cybersecurity,Development,2583551.88,On-Time,96,4,1,1,4
ERP2021033,P2021033,IoT,Consulting,12596446.03,Completed Early,90,7,0,0,1
ERP2021034,P2021034,Digital Transformation,Security,1632519685.96,On-Time,97,4,1,1,4
ERP2021035,P2021035,Digital Transformation,Data,25272792.46,On-Time,91,8,0,5,3
ERP2021036,P2021036,AI/ML,Consulting,7039032.41,On-Time,94,3,0,1,5
ERP2021037,P2021037,AI/ML,Development,2737079.76,Delayed,64,3,2,5,6
ERP2021038,P2021038,Cloud Migration,Cloud,2667512.95,On-Time,92,2,1,0,4
ERP2021039,P2021039,AI/ML,Consulting,31680315.71,Delayed,52,12,0,3,7
ERP2021040,P2021040,ERP Implementation,Security,12804116.18,On-Time,85,16,1,1,1
ERP2021041,P2021041,Digital Transformation,Cloud,16568429.42,On-Time,90,11,1,5,5
ERP2021042,P2021042,Digital Transformation,Cloud,19726117.42,Delayed,64,11,1,1,3
ERP2021043,P2021043,Data Analytics,Consulting,14062093.06,On-Time,81,8,1,2,5
ERP2021044,P2021044,AI/ML,Data,645873810.38,On-Time,100,4,1,5,1
ERP2021045,P2021045,Data Analytics,Consulting,766147960.75,On-Time,84,10,0,4,1
ERP2021046,P2021046,Digital Transformation,Development,715761826.12,Delayed,48,15,0,5,7
ERP2021047,P2021047,Data Analytics,Data,787977108.88,On-Time,97,2,0,0,4
ERP2021048,P2021048,Digital Transformation,Data,823218537.42,On-Time,93,2,1,5,1
ERP2021049,P2021049,AI/ML,Security,2675281.22,Completed Early,81,11,0,3,5
ERP2021050,P2021050,Cloud Migration,Consulting,23887579.24,On-Time,83,14,1,3,1
ERP2021051,P2021051,Digital Transformation,Cloud,698649979.79,On-Time,81,7,1,5,3
ERP2021052,P2021052,IoT,Cloud,11819657.24,On-Time,92,6,0,5,1
ERP2021053,P2021053,AI/ML,Cloud,1729431.09,On-Time,93,6,0,1,4
ERP2021054,P2021054,Cybersecurity,Development,27748006.03,Delayed,74,16,1,1,1
ERP2021055,P2021055,Digital Transformation,Consulting,8571406.63,On-Time,82,8,0,0,2
ERP2021056,P2021056,Digital Transformation,Consulting,2781733.48,On-Time,91,2,1,1,5
ERP2021057,P2021057,Data Analytics,Security,791727.93,On-Time,95,1,0,2,5
ERP2021058,P2021058,AI/ML,Cloud,1463373119.53,Delayed,74,5,3,0,9
ERP2021059,P2021059,Cybersecurity,Cloud,1013581727.15,On-Time,94,16,0,5,4
ERP2021060,P2021060,Digital Transformation,Development,10007676.29,On-Time,89,8,1,2,3
ERP2021061,P2021061,ERP Implementation,Data,25613694.41,Delayed,72,11,2,3,7
ERP2021062,P2021062,Cloud Migration,Security,384114.57,Delayed,35,1,3,1,2
ERP2021063,P2021063,ERP Implementation,Security,956609283.13,Delayed,45,2,1,4,6
ERP2021064,P2021064,Cybersecurity,Data,718099907.89,On-Time,98,12,1,0,1
ERP2021065,P2021065,Data Analytics,Consulting,879204760.47,On-Time,84,6,1,2,5
ERP2021066,P2021066,ERP Implementation,Data,38540295.72,Delayed,65,14,1,3,8
ERP2021067,P2021067,Cybersecurity,Consulting,10091617.19,On-Time,90,8,0,4,2
ERP2021068,P2021068,Digital Transformation,Development,951426.55,On-Time,97,2,0,4,1
ERP2021069,P2021069,AI/ML,Security,1094776158.4,On-Time,100,6,0,3,4
ERP2021070,P2021070,IoT,Consulting,1021738.89,On-Time,99,3,0,0,3
ERP2021071,P2021071,ERP Implementation,Consulting,1521678859.77,Completed Early,32,11,1,4,1
ERP2021072,P2021072,Data Analytics,Data,16236490.99,On-Time,85,14,0,0,1
ERP2021073,P2021073,Blockchain,Data,902719803.3,Delayed,58,7,2,3,8
ERP2021074,P2021074,Cloud Migration,Cloud,26455922.13,On-Time,85,11,0,1,5
ERP2021075,P2021075,Cloud Migration,Consulting,4681130.89,On-Time,90,9,0,4,3
ERP2021076,P2021076,Data Analytics,Security,173388.28,On-Time,83,1,1,4,5
ERP2021077,P2021077,AI/ML,Development,2106761.81,On-Time,85,1,0,2,5
ERP2021078,P2021078,Data Analytics,Cloud,868471508.26,Delayed,86,14,2,2,1
ERP2021079,P2021079,Cloud Migration,Data,3973561.0,Delayed,55,11,0,2,10
ERP2021080,P2021080,Cybersecurity,Development,38266928.92,Delayed,74,16,1,0,10
ERP2021081,P2021081,Blockchain,Cloud,3345930.89,On-Time,92,15,1,0,5
ERP2021082,P2021082,AI/ML,Development,476852044.01,On-Time,97,7,1,2,5
ERP2021083,P2021083,Cybersecurity,Development,21629389.57,Delayed,44,15,0,0,8
ERP2021084,P2021084,Data Analytics,Data,26016157.42,On-Time,91,13,0,2,1
ERP2021085,P2021085,AI/ML,Security,13885379.39,Completed Early,33,6,0,4,4
ERP2021086,P2021086,Blockchain,Security,901377270.09,On-Time,94,2,0,4,4
ERP2021087,P2021087,Digital Transformation,Cloud,907462206.76,On-Time,86,4,0,4,3
ERP2021088,P2021088,Digital Transformation,Development,1147093754.91,On-Time,86,8,1,1,1
ERP2021089,P2021089,AI/ML,Cloud,787966395.91,Completed Early,74,12,1,0,2
ERP2021090,P2021090,Data Analytics,Cloud,11006657.59,On-Time,98,13,0,2,4
ERP2021091,P2021091,Digital Transformation,Data,1278921606.83,On-Time,85,13,0,4,1
ERP2021092,P2021092,Digital Transformation,Data,834540636.46,Completed Early,75,16,0,0,4
ERP2021093,P2021093,AI/ML,Development,733627382.53,On-Time,82,12,1,0,2
ERP2021094,P2021094,Cybersecurity,Data,520413095.67,On-Time,82,5,1,0,4
ERP2021095,P2021095,Cloud Migration,Development,34401287.79,On-Time,95,16,1,0,2
ERP2021096,P2021096,Data Analytics,Consulting,755370859.1,On-Time,89,16,0,1,4
ERP2021097,P2021097,AI/ML,Security,9646421.75,On-Time,80,8,0,0,5
ERP2021098,P2021098,Blockchain,Consulting,1335732.52,On-Time,85,7,0,2,2
ERP2021099,P2021099,Data Analytics,Development,195351.18,On-Time,98,1,1,0,3
ERP2021100,P2021100,Cloud Migration,Consulting,1024493579.81,On-Time,87,4,0,5,5
ERP2021101,P2021101,AI/ML,Consulting,7338514.93,Delayed,44,3,3,1,2
ERP2021102,P2021102,Cloud Migration,Development,9822739.45,Delayed,59,6,3,1,9
ERP2021103,P2021103,Cloud Migration,Consulting,8204112.01,On-Time,94,10,0,5,1
ERP2021104,P2021104,ERP Implementation,Development,904180113.52,Completed Early,84,10,1,5,4
ERP2021105,P2021105,Digital Transformation,Security,887390720.01,Delayed,31,14,0,0,8
ERP2021106,P2021106,Cloud Migration,Security,8292842.17,On-Time,94,15,1,2,2
ERP2021107,P2021107,IoT,Consulting,934492320.57,On-Time,94,3,1,4,3
ERP2021108,P2021108,ERP Implementation,Security,1149939483.1,On-Time,87,1,0,1,5
ERP2021109,P2021109,IoT,Consulting,1264590509.48,On-Time,89,14,0,0,4
ERP2021110,P2021110,Data Analytics,Cloud,775142618.27,On-Time,88,7,1,5,1
ERP2021111,P2021111,ERP Implementation,Cloud,673863534.1,Delayed,52,5,2,1,4
ERP2021112,P2021112,Data Analytics,Consulting,785864297.06,On-Time,88,6,0,2,5
ERP2021113,P2021113,IoT,Cloud,832167142.11,On-Time,91,4,0,0,5
ERP2021114,P2021114,Blockchain,Consulting,726947623.4,On-Time,84,6,1,0,1
ERP2021115,P2021115,IoT,Cloud,6986211.88,On-Time,94,14,1,1,1
ERP2021116,P2021116,AI/ML,Security,1171342264.03,On-Time,100,15,1,2,4
ERP2021117,P2021117,Digital Transformation,Data,16295780.87,Delayed,65,7,1,2,5
ERP2021118,P2021118,IoT,Data,438308.11,On-Time,95,2,1,1,5
ERP2021119,P2021119,Cloud Migration,Consulting,8411837.67,On-Time,97,11,1,3,5
ERP2021120,P2021120,ERP Implementation,Development,24050381.22,Completed Early,42,16,1,3,5
ERP2021121,P2021121,Cloud Migration,Consulting,1825714.93,On-Time,83,3,0,3,2
ERP2021122,P2021122,Cloud Migration,Security,905446296.44,On-Time,99,9,1,2,3
ERP2021123,P2021123,Digital Transformation,Consulting,13804676.77,On-Time,86,12,1,4,1
ERP2021124,P2021124,Data Analytics,Consulting,3543513.35,On-Time,91,2,1,2,5
ERP2021125,P2021125,ERP Implementation,Consulting,697560759.98,Delayed,69,1,3,0,5
ERP2021126,P2021126,AI/ML,Consulting,515618036.35,On-Time,90,1,1,2,5
ERP2021127,P2021127,ERP Implementation,Consulting,7031278.47,On-Time,87,12,1,5,4
ERP2021128,P2021128,Blockchain,Security,3005271.6,Delayed,81,1,0,0,8
ERP2021129,P2021129,Data Analytics,Cloud,263306.28,On-Time,96,1,0,2,2
ERP2021130,P2021130,Blockchain,Data,933341617.46,Delayed,56,3,0,4,4
ERP2021131,P2021131,Digital Transformation,Cloud,651838790.13,On-Time,100,13,1,1,5
ERP2021132,P2021132,Digital Transformation,Data,1167535911.41,On-Time,96,17,1,1,3
ERP2021133,P2021133,Digital Transformation,Security,7005714.03,Delayed,66,5,1,1,5
ERP2021134,P2021134,AI/ML,Security,2056577.72,On-Time,90,6,1,0,2
ERP2021135,P2021135,AI/ML,Data,15900775.31,On-Time,82,12,1,2,2
ERP2021136,P2021136,IoT,Cloud,510688212.53,Delayed,41,7,3,4,4
ERP2021137,P2021137,AI/ML,Data,17015037.45,On-Time,83,11,1,4,5
ERP2021138,P2021138,Cybersecurity,Data,1862125.63,On-Time,95,3,1,1,1
ERP2021139,P2021139,AI/ML,Data,2720662.67,On-Time,98,8,0,4,5
ERP2021140,P2021140,Digital Transformation,Development,10569979.35,On-Time,88,9,1,0,4
ERP2021141,P2021141,Blockchain,Cloud,755790077.59,On-Time,93,8,1,2,3
ERP2021142,P2021142,Data Analytics,Security,7156581.23,Completed Early,43,14,0,4,3
ERP2021143,P2021143,Data Analytics,Cloud,28742748.29,On-Time,86,12,1,3,5
ERP2021144,P2021144,ERP Implementation,Cloud,13764461.44,On-Time,91,15,1,0,4
ERP2021145,P2021145,AI/ML,Security,343092.31,Delayed,68,1,2,1,6
ERP2021146,P2021146,ERP Implementation,Development,1169457397.67,On-Time,96,5,1,4,2
ERP2021147,P2021147,Cloud Migration,Security,20824856.79,On-Time,100,7,0,0,1
ERP2021148,P2021148,IoT,Data,1042817570.22,On-Time,97,3,0,0,2
ERP2021149,P2021149,Data Analytics,Consulting,22616927.24,On-Time,86,15,0,0,1
ERP2021150,P2021150,Data Analytics,Cloud,946635857.94,On-Time,93,2,1,1,2
ERP2021151,P2021151,Digital Transformation,Data,1158915733.0,On-Time,83,14,0,0,5
ERP2021152,P2021152,Blockchain,Security,26619204.91,Delayed,34,16,0,1,7
ERP2021153,P2021153,ERP Implementation,Data,28265805.38,Delayed,33,11,2,4,1
ERP2021154,P2021154,ERP Implementation,Consulting,7058233.52,On-Time,91,12,1,0,3
ERP2021155,P2021155,IoT,Data,11390889.08,Delayed,88,9,1,2,1
ERP2021156,P2021156,Blockchain,Security,925151022.03,On-Time,83,15,1,4,4
ERP2021157,P2021157,ERP Implementation,Data,1192252704.96,On-Time,82,5,0,1,2
ERP2021158,P2021158,ERP Implementation,Cloud,1583292.61,On-Time,90,1,1,1,2
ERP2021159,P2021159,Digital Transformation,Development,5640337.35,On-Time,80,14,0,2,2
ERP2021160,P2021160,IoT,Data,674520918.83,On-Time,82,9,0,0,1
ERP2021161,P2021161,Cybersecurity,Security,1674094.63,On-Time,85,7,0,1,1
ERP2021162,P2021162,Cybersecurity,Consulting,754983.61,On-Time,90,3,0,1,4
ERP2021163,P2021163,ERP Implementation,Cloud,863369244.08,Delayed,31,14,0,2,8
ERP2021164,P2021164,Cybersecurity,Security,700032515.45,Delayed,70,5,3,5,1
ERP2021165,P2021165,Blockchain,Development,1152371479.56,Delayed,54,12,1,1,1
ERP2021166,P2021166,Cloud Migration,Security,7943329.45,On-Time,94,14,1,3,5
ERP2021167,P2021167,Cybersecurity,Development,1145396401.96,On-Time,88,13,1,5,4
ERP2021168,P2021168,Blockchain,Cloud,22827388.47,On-Time,88,13,0,4,3
ERP2021169,P2021169,Cybersecurity,Development,7920810.56,Completed Early,83,3,1,1,2
ERP2021170,P2021170,ERP Implementation,Consulting,769826566.12,On-Time,80,5,0,5,1
ERP2021171,P2021171,Cloud Migration,Data,6928780.98,Delayed,36,10,3,1,4
ERP2021172,P2021172,AI/ML,Development,990270021.31,On-Time,100,6,1,1,1
ERP2021173,P2021173,IoT,Security,35172626.07,On-Time,84,16,0,4,3
ERP2021174,P2021174,Digital Transformation,Consulting,2317009.29,Delayed,30,12,0,1,10
ERP2021175,P2021175,IoT,Data,782323221.48,On-Time,81,4,0,4,4
ERP2021176,P2021176,Cybersecurity,Consulting,664382082.09,On-Time,89,14,1,3,3
ERP2021177,P2021177,Digital Transformation,Development,1059602407.09,On-Time,93,2,1,0,4
ERP2021178,P2021178,Blockchain,Development,13542774.32,On-Time,88,10,1,1,4
ERP2021179,P2021179,Blockchain,Cloud,2563903.99,On-Time,82,11,0,2,2
ERP2021180,P2021180,Data Analytics,Cloud,733164714.83,On-Time,91,6,1,5,2
ERP2021181,P2021181,Cloud Migration,Security,1236821030.29,Delayed,73,2,2,3,7
ERP2021182,P2021182,ERP Implementation,Security,1208764067.57,Delayed,33,14,3,2,10
ERP2021183,P2021183,Blockchain,Consulting,829871189.88,Delayed,90,11,1,3,2
ERP2021184,P2021184,Digital Transformation,Security,1156790033.14,On-Time,91,4,0,2,1
ERP2021185,P2021185,Digital Transformation,Cloud,19565049.83,Delayed,64,8,2,0,1
ERP2021186,P2021186,IoT,Security,1457174.56,On-Time,96,3,1,2,4
ERP2021187,P2021187,Digital Transformation,Data,32963042.06,On-Time,88,17,1,2,3
ERP2021188,P2021188,Cloud Migration,Data,663030175.39,On-Time,90,17,1,3,3
ERP2021189,P2021189,Blockchain,Development,17247518.22,On-Time,82,12,0,2,1
ERP2021190,P2021190,Digital Transformation,Cloud,1077550831.4,On-Time,82,1,0,1,5
ERP2021191,P2021191,IoT,Consulting,41389037.06,On-Time,89,17,0,2,1
ERP2021192,P2021192,IoT,Security,879628636.25,On-Time,85,3,1,1,1
ERP2021193,P2021193,Cloud Migration,Consulting,11500620.89,Delayed,77,5,3,1,3
ERP2021194,P2021194,AI/ML,Development,3825207.74,On-Time,89,2,1,1,2
ERP2021195,P2021195,Blockchain,Cloud,552726067.84,On-Time,84,14,0,5,5
ERP2021196,P2021196,Cloud Migration,Data,4749034.32,On-Time,91,2,1,5,5
ERP2021197,P2021197,Blockchain,Consulting,1021133837.26,On-Time,89,4,0,3,2
ERP2021198,P2021198,Cloud Migration,Development,26400740.72,On-Time,94,11,1,3,1
ERP2021199,P2021199,Cloud Migration,Consulting,1148911143.45,On-Time,92,11,1,3,3
ERP2021200,P2021200,Cybersecurity,Security,51212663.08,On-Time,96,15,1,1,3
ERP2021201,P2021201,AI/ML,Cloud,3641525.66,On-Time,85,16,1,1,3
ERP2021202,P2021202,Cloud Migration,Security,760471978.1,On-Time,99,3,1,0,3
ERP2021203,P2021203,Cloud Migration,Development,3961467.51,Delayed,48,15,3,0,5
ERP2021204,P2021204,ERP Implementation,Development,229888.5,On-Time,95,1,1,1,1
ERP2021205,P2021205,Data Analytics,Cloud,906061639.51,On-Time,96,11,1,5,1
ERP2021206,P2021206,AI/ML,Consulting,3992383.94,On-Time,88,17,1,2,2
ERP2021207,P2021207,Digital Transformation,Security,49176956.83,On-Time,81,15,1,4,2
ERP2021208,P2021208,IoT,Cloud,628084288.47,Delayed,61,11,3,4,1
ERP2021209,P2021209,Cloud Migration,Consulting,15335683.77,On-Time,91,6,0,3,2
ERP2021210,P2021210,ERP Implementation,Cloud,4278786.75,Delayed,63,14,2,2,6
ERP2021211,P2021211,Blockchain,Development,26532462.15,Completed Early,50,10,1,2,2
ERP2021212,P2021212,AI/ML,Data,4050974.8,On-Time,88,17,1,5,5
ERP2021213,P2021213,Digital Transformation,Security,927797080.35,On-Time,99,9,1,3,5
ERP2021214,P2021214,Cloud Migration,Consulting,2641581.42,On-Time,90,7,1,0,5
ERP2021215,P2021215,IoT,Consulting,1238652.82,Delayed,49,7,1,3,6
ERP2021216,P2021216,Cybersecurity,Data,953249735.84,On-Time,100,10,0,0,3
ERP2021217,P2021217,Cybersecurity,Security,4756846.38,Delayed,88,17,2,0,4
ERP2021218,P2021218,Cloud Migration,Security,31136133.22,On-Time,93,11,0,3,5
ERP2021219,P2021219,ERP Implementation,Development,8915817.56,On-Time,81,7,0,0,1
ERP2021220,P2021220,Blockchain,Security,8355881.02,On-Time,89,7,0,5,3
ERP2021221,P2021221,AI/ML,Cloud,4821808.62,On-Time,92,15,0,2,5
ERP2021222,P2021222,Blockchain,Data,574133094.15,Delayed,69,14,3,3,4
ERP2021223,P2021223,AI/ML,Data,2681048.38,On-Time,83,15,1,0,3
ERP2021224,P2021224,IoT,Data,6124673.31,On-Time,95,16,0,5,5
ERP2021225,P2021225,Blockchain,Cloud,638765575.81,On-Time,91,17,1,1,4
ERP2021226,P2021226,IoT,Development,840364924.29,On-Time,87,7,0,4,2
ERP2021227,P2021227,Cloud Migration,Consulting,1317525429.9,On-Time,84,13,0,4,1
ERP2021228,P2021228,Digital Transformation,Development,1373408091.16,On-Time,81,4,1,3,2
ERP2021229,P2021229,ERP Implementation,Security,17950129.64,Delayed,88,10,0,0,8
ERP2021230,P2021230,Blockchain,Security,4104218.5,On-Time,97,9,0,4,4
ERP2021231,P2021231,Digital Transformation,Consulting,4648548.02,On-Time,94,11,1,3,4
ERP2021232,P2021232,Digital Transformation,Cloud,2086612.64,On-Time,96,1,0,1,1
ERP2021233,P2021233,Cloud Migration,Security,10061268.3,Delayed,32,3,1,1,9
ERP2021234,P2021234,Digital Transformation,Data,11857825.83,On-Time,85,4,0,2,5
ERP2021235,P2021235,IoT,Cloud,813373386.54,On-Time,83,3,0,2,3
ERP2021236,P2021236,ERP Implementation,Development,651796714.55,On-Time,99,11,1,3,5
ERP2021237,P2021237,Digital Transformation,Cloud,1661038816.75,On-Time,96,4,1,5,2
ERP2021238,P2021238,Blockchain,Development,4091792.74,On-Time,89,4,1,1,4
ERP2021239,P2021239,ERP Implementation,Security,727906493.22,Delayed,53,4,0,0,6
ERP2021240,P2021240,AI/ML,Security,39233936.9,On-Time,91,17,1,4,4
ERP2021241,P2021241,AI/ML,Consulting,897758193.51,On-Time,80,14,0,1,2
ERP2021242,P2021242,Blockchain,Consulting,2656094.71,Delayed,30,17,1,3,9
ERP2021243,P2021243,ERP Implementation,Consulting,29294686.23,On-Time,92,9,0,3,2
ERP2021244,P2021244,IoT,Cloud,940068986.64,On-Time,90,11,1,2,1
ERP2021245,P2021245,Cybersecurity,Security,688517239.33,On-Time,100,6,0,5,4
ERP2021246,P2021246,IoT,Consulting,23732584.7,On-Time,92,12,1,1,4
ERP2021247,P2021247,ERP Implementation,Cloud,5730804.99,On-Time,84,10,1,1,4
ERP2021248,P2021248,Data Analytics,Cloud,698272917.11,On-Time,80,9,0,0,1
ERP2021249,P2021249,Cloud Migration,Development,6800132.77,Delayed,33,3,3,2,10
ERP2021250,P2021250,AI/ML,Cloud,693932118.21,Delayed,89,16,3,2,9
ERP2021251,P2021251,IoT,Cloud,5874963.27,On-Time,92,5,0,2,2
ERP2021252,P2021252,Cloud Migration,Consulting,8219598.59,On-Time,86,11,1,3,5
ERP2021253,P2021253,Digital Transformation,Cloud,1305283376.94,On-Time,80,3,0,3,2
ERP2021254,P2021254,IoT,Cloud,1204942943.06,Delayed,56,12,3,1,4
ERP2021255,P2021255,AI/ML,Development,16603190.74,Delayed,46,14,2,4,9
ERP2021256,P2021256,AI/ML,Consulting,22538413.96,On-Time,99,11,0,0,1
ERP2021257,P2021257,IoT,Consulting,849556105.45,On-Time,85,10,0,1,4
ERP2021258,P2021258,Digital Transformation,Consulting,1414801521.99,Delayed,80,10,3,3,3
ERP2021259,P2021259,IoT,Cloud,873405599.34,On-Time,98,6,1,4,4
ERP2021260,P2021260,Cloud Migration,Consulting,25777634.32,Delayed,37,11,1,5,9
ERP2021261,P2021261,AI/ML,Development,648570819.77,On-Time,89,14,0,3,2
ERP2021262,P2021262,Data Analytics,Cloud,5780759.99,Delayed,61,2,1,0,10
ERP2021263,P2021263,Cloud Migration,Cloud,944340909.79,Delayed,72,4,3,4,10
ERP2021264,P2021264,Digital Transformation,Development,29258789.1,On-Time,82,11,1,3,1
ERP2021265,P2021265,Blockchain,Data,474258493.69,Delayed,70,11,2,4,9
ERP2021266,P2021266,Digital Transformation,Security,759050026.58,On-Time,98,7,0,5,2
ERP2021267,P2021267,Cloud Migration,Security,2388721.53,On-Time,87,1,0,3,5
ERP2021268,P2021268,Data Analytics,Cloud,15627177.84,Delayed,49,7,2,0,10
ERP2021269,P2021269,AI/ML,Development,1478945793.07,On-Time,86,11,0,4,5
ERP2021270,P2021270,IoT,Security,602511626.81,On-Time,87,10,0,5,3
ERP2021271,P2021271,AI/ML,Security,5460647.4,On-Time,98,10,1,5,2
ERP2021272,P2021272,Cloud Migration,Security,5847486.97,Completed Early,48,14,1,5,2
ERP2021273,P2021273,ERP Implementation,Cloud,1486723915.34,Completed Early,88,15,1,1,3
ERP2021274,P2021274,Blockchain,Cloud,934744177.83,On-Time,95,3,1,2,5
ERP2021275,P2021275,IoT,Consulting,613610772.73,Delayed,36,4,0,0,6
ERP2021276,P2021276,Data Analytics,Consulting,1300839423.52,On-Time,85,2,0,2,5
ERP2021277,P2021277,IoT,Security,896678637.57,Delayed,64,4,0,1,4
ERP2021278,P2021278,Data Analytics,Security,1413765989.32,On-Time,97,12,1,3,1
ERP2021279,P2021279,Digital Transformation,Development,1290979057.22,On-Time,97,4,0,1,2
ERP2021280,P2021280,Cloud Migration,Consulting,26349090.43,On-Time,83,17,0,5,5
ERP2021281,P2021281,IoT,Development,833825261.33,On-Time,85,16,1,5,3
ERP2021282,P2021282,Digital Transformation,Cloud,1052107758.6,Delayed,80,10,2,3,1
ERP2021283,P2021283,IoT,Data,1037408718.98,Completed Early,60,13,0,0,1
ERP2021284,P2021284,AI/ML,Development,529061275.34,On-Time,100,7,0,2,4
ERP2021285,P2021285,IoT,Development,484247611.99,On-Time,95,13,0,4,1
ERP2021286,P2021286,IoT,Development,1037611.77,Completed Early,47,2,0,3,3
ERP2021287,P2021287,Cloud Migration,Cloud,598703914.55,On-Time,88,12,1,2,1
ERP2021288,P2021288,ERP Implementation,Development,1063451933.94,Completed Early,58,1,0,0,1
ERP2021289,P2021289,Cybersecurity,Security,33745295.61,On-Time,88,15,1,3,3
ERP2021290,P2021290,IoT,Cloud,872805499.45,Completed Early,35,16,0,3,4
ERP2021291,P2021291,Cybersecurity,Cloud,9019094.83,On-Time,91,6,0,3,2
ERP2021292,P2021292,Data Analytics,Cloud,7946325.49,Delayed,54,4,1,0,4
ERP2021293,P2021293,IoT,Consulting,1527100.55,Delayed,87,2,3,0,5
ERP2021294,P2021294,IoT,Development,6397834.53,On-Time,85,16,0,4,3
ERP2021295,P2021295,Cloud Migration,Security,24558060.17,On-Time,83,12,1,5,3
ERP2021296,P2021296,Data Analytics,Cloud,539600446.59,On-Time,89,8,0,4,1
ERP2021297,P2021297,Digital Transformation,Consulting,761978763.09,On-Time,88,5,0,4,3
ERP2021298,P2021298,AI/ML,Consulting,1652018.12,Delayed,63,2,2,1,1
ERP2021299,P2021299,Data Analytics,Security,808622941.73,On-Time,94,6,1,5,1
ERP2021300,P2021300,Digital Transformation,Consulting,1068768408.14,On-Time,98,6,1,4,5
ERP2021301,P2021301,AI/ML,Cloud,10259687.61,Completed Early,57,15,0,1,1
ERP2021302,P2021302,AI/ML,Consulting,1263627583.91,On-Time,95,8,1,4,1
ERP2021303,P2021303,AI/ML,Cloud,3197274.27,Delayed,88,16,0,3,8
ERP2021304,P2021304,Blockchain,Cloud,3975568.55,Delayed,86,4,3,3,1
ERP2021305,P2021305,Blockchain,Data,7233510.66,On-Time,96,15,1,3,5
ERP2021306,P2021306,Cybersecurity,Data,602906383.68,Delayed,37,17,1,0,4
ERP2021307,P2021307,Digital Transformation,Development,993752433.0,On-Time,91,10,1,3,5
ERP2021308,P2021308,Data Analytics,Consulting,2969655.36,On-Time,81,10,1,2,1
ERP2021309,P2021309,Blockchain,Data,726921463.43,On-Time,80,13,1,0,1
ERP2021310,P2021310,Blockchain,Consulting,2133543.95,On-Time,100,1,0,3,4
ERP2021311,P2021311,Cloud Migration,Data,646897209.59,On-Time,97,2,0,2,5
ERP2021312,P2021312,Digital Transformation,Cloud,5416559.01,On-Time,97,8,0,5,3
ERP2021313,P2021313,Data Analytics,Data,14253430.48,On-Time,92,11,1,2,4
ERP2021314,P2021314,Digital Transformation,Security,2991515.71,On-Time,92,4,1,2,1
ERP2021315,P2021315,AI/ML,Development,1351750146.84,Delayed,36,5,2,1,7
