tender_id,client_name,tech_domain,service_type,communication_channel,estimated_value,margin_pct,industry,team_size,status,is_rfp,submission_date,decision_date,complexity
T2021012,"Henderson, Ramirez and Lewis Solutions",Cloud Migration,Strategy,Conference,1243296374.51,22.28,AI/ML,9,Awarded,True,2021-01-31,2021-08-10,High
T2021013,"Henderson, Ramirez and Lewis Solutions",AI/ML,Optimization,LinkedIn,1346082938.12,29.25,AI/ML,5,Awarded,True,2023-02-16,2021-02-04,High
T2021014,Garcia-James Solutions,Blockchain,Implementation,LinkedIn,1101839787.86,37.0,IoT,10,Submitted,True,2021-04-30,2024-02-15,Low
T2021015,Arnold Ltd Solutions,Digital Transformation,Strategy,Conference,2096297927.6,18.99,Digital Transformation,5,Lost,True,2022-01-16,2021-06-20,Medium
T2021016,Rodriguez-Graham Systems,IoT,Training,LinkedIn,875619330.56,31.93,AI/ML,6,Awarded,True,2023-05-09,2024-01-06,Medium
T2021017,Garcia-James Solutions,IoT,Managed Services,Referral,833798382.91,36.11,IoT,6,Awarded,True,2022-09-07,2023-08-25,Medium
T2021018,AI Nexus,AI/ML,Strategy,Conference,668037081.92,36.04,AI/ML,8,Submitted,True,2022-06-28,2021-10-29,High
T2021019,AI Nexus,ERP Implementation,Optimization,LinkedIn,1275767314.39,13.36,AI/ML,15,Awarded,True,2023-12-20,2021-02-16,Medium
T2021020,"Hoffman, Baker and Richards Systems",Cybersecurity,Managed Services,Conference,1266047605.88,33.69,Cybersecurity,5,Submitted,True,2021-11-15,2022-08-11,Medium
T2021021,"Gardner, Robinson and Lawrence Technologies",Data Analytics,Training,Conference,1098733698.34,27.42,AI/ML,7,Awarded,False,2021-04-15,2021-08-08,Medium
T2021022,Abbott-Munoz Systems,Blockchain,Integration,LinkedIn,969026014.71,32.61,Blockchain,5,Lost,True,2023-06-24,2024-03-05,High
T2021023,"Hoffman, Baker and Richards Systems",Cybersecurity,Training,LinkedIn,1651404453.67,27.7,Cybersecurity,5,Submitted,True,2021-10-31,2023-06-30,Low
T2021024,Dudley Group Systems,IoT,Managed Services,Email,708629394.74,33.72,IoT,3,Submitted,True,2021-07-30,2023-01-25,High
T2021025,"Adams, Zuniga and Wong Technologies",Cybersecurity,Optimization,Email,1071398450.16,31.62,Blockchain,5,Submitted,False,2021-12-29,2023-05-25,Low
T2021026,"Romero, Gonzalez and Brooks Labs",IoT,Managed Services,Referral,1444830955.18,28.62,Blockchain,6,Submitted,False,2023-02-23,2021-04-20,High
T2021027,Blake and Sons Solutions,Data Analytics,Managed Services,Email,1590221759.31,33.15,Data Analytics,8,Lost,False,2022-04-02,2021-03-20,Medium
T2021028,"Flowers, Martin and Kelly Technologies",Digital Transformation,Managed Services,Referral,1096064162.55,17.8,Digital Transformation,7,Awarded,True,2022-11-10,2021-03-28,Low
T2021029,Garcia-James Solutions,IoT,Strategy,Email,1611479949.68,33.66,IoT,7,Submitted,True,2022-10-05,2023-07-13,Medium
T2021030,"Walter, Edwards and Rios Technologies",Data Analytics,Managed Services,Referral,1137453223.77,25.6,Data Analytics,6,Submitted,True,2023-12-01,2024-02-07,Medium
T2021031,"Romero, Gonzalez and Brooks Labs",Data Analytics,Integration,LinkedIn,839983907.4,22.47,Blockchain,4,Lost,True,2021-09-13,2022-10-08,Medium
T2021032,"Dyer, Potter and Mack Solutions",AI/ML,Training,LinkedIn,1806446129.17,39.06,AI/ML,6,Submitted,True,2023-02-16,2022-01-22,Medium
T2021033,Dudley Group Systems,IoT,Managed Services,Referral,1625067431.78,31.64,IoT,7,Submitted,False,2022-10-22,2023-09-10,Medium
T2021034,Rodriguez-Graham Systems,AI/ML,Integration,LinkedIn,990994311.98,36.81,AI/ML,5,Submitted,True,2022-11-18,2021-08-10,High
T2021035,"Henderson, Ramirez and Lewis Solutions",AI/ML,Implementation,LinkedIn,1907703975.68,36.81,AI/ML,5,Submitted,True,2023-09-01,2021-06-29,Medium
T2021036,"Ferrell, Rice and Maddox Systems",IoT,Assessment,Referral,1922992446.8,31.82,IoT,9,Awarded,True,2021-01-12,2021-09-06,High
T2021037,Blake and Sons Solutions,Data Analytics,Strategy,Email,1538888178.0,14.9,Data Analytics,10,Awarded,False,2021-09-06,2023-08-23,Low
T2021038,"Watts, Robinson and Nguyen Technologies",Data Analytics,Optimization,Email,1099424913.18,28.44,Data Analytics,8,Lost,True,2023-10-31,2023-06-23,High
T2021039,"Hoffman, Baker and Richards Systems",Cybersecurity,Assessment,LinkedIn,662469187.03,30.46,Cybersecurity,7,Submitted,True,2022-07-22,2024-01-03,Medium
T2021040,"Henderson, Ramirez and Lewis Solutions",AI/ML,Implementation,LinkedIn,1338598556.73,33.9,AI/ML,6,Submitted,True,2021-06-15,2021-11-10,Low
T2021041,James Group Systems,ERP Implementation,Assessment,Referral,1029433217.54,27.39,ERP Implementation,9,Awarded,True,2023-05-02,2021-06-07,Medium
T2021042,"Adams, Zuniga and Wong Technologies",Blockchain,Optimization,Conference,1034545633.58,35.96,Blockchain,3,Lost,True,2023-09-04,2021-02-12,High
T2021043,Dudley Group Systems,IoT,Assessment,Conference,1327257488.97,36.58,IoT,6,Submitted,True,2021-03-01,2023-04-07,Medium
T2021044,Rodriguez-Graham Systems,Cybersecurity,Training,Referral,1402799204.17,27.35,AI/ML,5,Awarded,False,2021-02-25,2021-07-21,Medium
T2021045,"Rodriguez, Figueroa and Sanchez Technologies",Cybersecurity,Managed Services,LinkedIn,1608147570.42,30.49,Cloud Migration,7,Submitted,True,2023-02-16,2022-08-23,High
T2021046,"Adams, Zuniga and Wong Technologies",Blockchain,Integration,LinkedIn,1090014281.07,36.49,Blockchain,3,Awarded,False,2022-12-18,2022-05-05,Medium
T2021047,Frazier Inc Systems,Data Analytics,Implementation,LinkedIn,775253627.09,26.04,Data Analytics,6,Lost,True,2022-05-04,2021-10-16,Medium
T2021048,ERP Masters,ERP Implementation,Optimization,LinkedIn,1300574413.86,21.48,ERP Implementation,12,Awarded,True,2021-08-23,2022-01-01,High
T2021049,IoT Connect,IoT,Assessment,Email,1120879115.56,32.03,IoT,9,Lost,True,2022-05-13,2021-08-27,Medium
T2021050,Dudley Group Systems,Cloud Migration,Managed Services,Referral,1060028553.69,17.92,IoT,8,Awarded,True,2021-05-22,2023-12-03,Medium
T2021051,TechNovate Solutions,Blockchain,Integration,LinkedIn,945355966.08,38.29,Digital Transformation,8,Lost,True,2021-11-10,2023-07-11,Low
T2021052,Wilkerson-Day Systems,Digital Transformation,Assessment,Conference,1357581352.33,21.19,IoT,10,Awarded,False,2022-07-04,2022-11-22,High
T2021053,BlockChain Innovations,Blockchain,Training,LinkedIn,1267267218.9,49.43,Blockchain,10,Awarded,True,2021-02-28,2023-11-09,High
T2021054,Davis and Sons Technologies,Cloud Migration,Managed Services,LinkedIn,1176043298.56,26.29,Cloud Migration,12,Submitted,True,2022-07-20,2024-03-14,Low
T2021055,"Guzman, Hoffman and Baldwin Technologies",IoT,Training,Referral,1193076517.04,22.41,IoT,10,Awarded,True,2023-10-03,2023-08-06,High
T2021056,BlockChain Innovations,Blockchain,Managed Services,LinkedIn,2517992798.93,40.3,Blockchain,6,Awarded,True,2023-12-24,2023-01-05,Medium
T2021057,"Romero, Gonzalez and Brooks Labs",Blockchain,Managed Services,LinkedIn,1316469648.15,39.04,Blockchain,10,Awarded,True,2022-01-30,2022-11-08,Low
T2021058,Baker and Sons Systems,Cybersecurity,Managed Services,LinkedIn,846949702.47,29.83,Blockchain,7,Awarded,False,2023-12-11,2022-09-02,High
T2021059,"Guzman, Hoffman and Baldwin Technologies",IoT,Strategy,LinkedIn,1506922289.33,37.71,IoT,7,Awarded,True,2021-04-04,2021-05-22,Medium
T2021060,Smith-Bowen Systems,Blockchain,Training,LinkedIn,915461660.09,43.96,IoT,3,Submitted,True,2022-11-29,2022-02-12,High
T2021061,Garcia-James Solutions,Blockchain,Assessment,LinkedIn,789728647.42,47.01,IoT,4,Awarded,True,2021-04-20,2021-12-07,Low
T2021062,"Ross, Robinson and Bright Solutions",Cloud Migration,Training,Email,2320136754.34,27.93,ERP Implementation,9,Awarded,True,2022-04-08,2024-01-06,Medium
T2021063,Gray-Mayo Systems,Digital Transformation,Managed Services,Conference,1014707225.55,17.05,Digital Transformation,9,Awarded,True,2021-07-23,2022-04-01,Medium
T2021064,Garcia-James Solutions,IoT,Training,LinkedIn,1034012376.76,32.5,IoT,5,Submitted,True,2023-07-12,2023-09-20,Medium
T2021065,Blake and Sons Solutions,Data Analytics,Strategy,LinkedIn,1227596674.09,20.25,Data Analytics,10,Awarded,False,2022-02-10,2023-06-20,Low
T2021066,Blake and Sons Solutions,Data Analytics,Strategy,Email,1386201359.48,22.69,Data Analytics,5,Submitted,False,2022-08-15,2023-07-19,Low
T2021067,Smith-Bowen Systems,IoT,Training,Conference,1914525408.66,27.4,IoT,7,Awarded,True,2021-03-23,2023-07-04,High
T2021068,Burton Ltd Solutions,Cybersecurity,Training,LinkedIn,1091847250.64,26.08,Cybersecurity,8,Lost,False,2022-07-06,2021-04-23,High
T2021069,Davis and Sons Technologies,Cloud Migration,Implementation,Conference,831295582.11,29.07,Cloud Migration,12,Lost,True,2023-10-05,2021-08-05,Medium
T2021070,"Adams, Zuniga and Wong Technologies",Blockchain,Managed Services,Conference,1780033649.47,41.14,Blockchain,5,Awarded,True,2023-04-01,2024-03-02,Low
T2021071,BlockChain Innovations,Blockchain,Optimization,LinkedIn,1271096100.62,31.96,Blockchain,9,Awarded,False,2023-08-05,2023-05-27,Low
T2021072,Wilkerson-Day Systems,IoT,Optimization,Referral,1520495553.2,33.3,IoT,10,Submitted,True,2021-09-26,2022-09-12,Medium
T2021073,Smith-Bowen Systems,IoT,Integration,LinkedIn,809249873.99,25.82,IoT,6,Submitted,True,2023-04-16,2021-08-09,Medium
T2021074,ERP Masters,ERP Implementation,Assessment,LinkedIn,1314668896.26,22.61,ERP Implementation,10,Lost,True,2022-07-14,2023-05-31,High
T2021075,Perez Inc Solutions,AI/ML,Implementation,LinkedIn,1334322810.21,36.25,AI/ML,7,Lost,True,2021-10-07,2021-06-22,Medium
T2021076,"Adams, Zuniga and Wong Technologies",Blockchain,Optimization,Conference,1289385245.85,36.6,Blockchain,7,Submitted,False,2023-09-30,2021-12-01,Medium
T2021077,Perez Inc Solutions,AI/ML,Assessment,LinkedIn,970624128.09,36.47,AI/ML,8,Awarded,True,2022-01-22,2022-06-04,Medium
T2021078,Blake and Sons Solutions,IoT,Integration,LinkedIn,1386301373.47,41.33,Data Analytics,10,Lost,True,2021-11-08,2023-11-11,High
T2021079,"Rodriguez, Figueroa and Sanchez Technologies",Cloud Migration,Optimization,Conference,1464414530.38,19.04,Cloud Migration,9,Lost,True,2023-07-25,2021-03-03,High
T2021080,"Adams, Zuniga and Wong Technologies",Cybersecurity,Managed Services,LinkedIn,1522897580.54,25.13,Blockchain,6,Awarded,True,2021-06-14,2022-12-04,High
T2021081,Baker and Sons Systems,Blockchain,Optimization,LinkedIn,940150553.29,45.79,Blockchain,10,Awarded,True,2022-04-26,2022-09-11,High
T2021082,"Romero, Gonzalez and Brooks Labs",Blockchain,Assessment,Email,1361141546.52,44.82,Blockchain,4,Submitted,True,2021-03-01,2021-05-05,Medium
T2021083,SecureNet Systems,Cybersecurity,Implementation,LinkedIn,2124480574.21,34.11,Cybersecurity,5,Awarded,True,2022-01-04,2022-01-14,Low
T2021084,Carlson-Cruz Labs,Data Analytics,Implementation,Conference,959223278.15,26.77,Cybersecurity,5,Awarded,True,2022-06-07,2021-02-19,High
T2021085,"Watts, Robinson and Nguyen Technologies",Cybersecurity,Training,LinkedIn,941525691.47,25.55,Data Analytics,6,Submitted,False,2022-05-28,2023-08-24,High
T2021086,"Guzman, Hoffman and Baldwin Technologies",Blockchain,Training,LinkedIn,1332204427.55,39.61,IoT,9,Awarded,True,2022-08-28,2021-03-16,High
T2021087,"Dyer, Potter and Mack Solutions",AI/ML,Training,LinkedIn,1541328052.8,36.38,AI/ML,4,Awarded,False,2022-08-10,2022-05-17,Medium
T2021088,Williams and Sons Technologies,Cloud Migration,Integration,LinkedIn,1859950110.74,25.07,Cloud Migration,12,Awarded,False,2021-10-08,2021-08-17,High
T2021089,Frazier Inc Systems,Data Analytics,Training,Referral,2719750619.27,26.68,Data Analytics,3,Awarded,True,2022-08-28,2022-12-01,High
T2021090,Davis and Sons Technologies,Cloud Migration,Training,Referral,929918970.72,28.13,Cloud Migration,13,Awarded,True,2021-12-03,2022-07-11,High
T2021091,Perez Inc Solutions,Digital Transformation,Optimization,Referral,1389899116.72,16.65,AI/ML,8,Submitted,False,2021-10-16,2022-05-08,High
T2021092,Harrell LLC Solutions,ERP Implementation,Strategy,LinkedIn,1489871076.33,18.88,ERP Implementation,13,Awarded,True,2021-09-11,2023-08-20,Medium
T2021093,"Romero, Gonzalez and Brooks Labs",Blockchain,Strategy,LinkedIn,1176613936.66,42.37,Blockchain,8,Awarded,True,2022-11-03,2022-04-29,Medium
T2021094,"Ferrell, Rice and Maddox Systems",Digital Transformation,Implementation,Conference,763406422.74,17.77,IoT,4,Submitted,True,2023-10-06,2021-09-25,Low
T2021095,Baker and Sons Systems,Blockchain,Training,LinkedIn,1554896649.9,37.77,Blockchain,9,Awarded,True,2023-04-30,2021-08-21,High
T2021096,Carlson-Cruz Labs,Cybersecurity,Integration,Email,827594323.95,31.07,Cybersecurity,4,Awarded,True,2022-04-29,2023-02-12,Low
T2021097,Rodriguez-Graham Systems,AI/ML,Strategy,Email,1349973086.0,35.87,AI/ML,6,Awarded,True,2021-09-08,2023-08-20,Low
T2021098,"Gardner, Robinson and Lawrence Technologies",AI/ML,Strategy,LinkedIn,1259364179.08,30.58,AI/ML,4,Awarded,True,2021-09-15,2024-04-01,Medium
T2021099,"Hoffman, Baker and Richards Systems",Cybersecurity,Managed Services,LinkedIn,853506904.36,30.29,Cybersecurity,5,Awarded,False,2021-01-06,2022-08-21,High
T2021100,Doyle Ltd Solutions,Digital Transformation,Integration,Referral,1422939496.52,23.79,Digital Transformation,4,Lost,True,2023-01-04,2022-06-02,Medium
T2021101,CloudScape Technologies,Cloud Migration,Training,LinkedIn,1649760387.46,30.42,Cloud Migration,14,Submitted,True,2023-07-08,2023-02-11,Medium
T2021102,IoT Connect,IoT,Integration,LinkedIn,907684824.75,25.11,IoT,3,Awarded,False,2023-12-04,2022-10-10,Medium
T2021103,CloudScape Technologies,Cloud Migration,Assessment,Conference,1403017434.05,27.58,Cloud Migration,14,Awarded,True,2023-06-28,2021-06-30,High
T2021104,Arnold Ltd Solutions,Digital Transformation,Training,LinkedIn,3820223348.99,24.58,Digital Transformation,7,Awarded,True,2022-10-28,2023-03-22,High
T2021105,Wilkerson-Day Systems,IoT,Strategy,Conference,1690727879.41,34.85,IoT,9,Awarded,True,2022-03-17,2023-06-30,Medium
T2021106,Blake and Sons Solutions,Data Analytics,Assessment,Referral,1462148336.34,32.77,Data Analytics,9,Awarded,True,2022-10-03,2022-07-07,Medium
T2021107,Doyle Ltd Solutions,Digital Transformation,Optimization,Conference,1510106545.37,20.42,Digital Transformation,4,Submitted,True,2023-02-03,2021-10-24,Medium
T2021108,"Snyder, Campos and Callahan Technologies",ERP Implementation,Managed Services,Conference,1120129003.1,16.14,Digital Transformation,14,Lost,False,2023-05-17,2021-05-16,High
T2021109,Burton Ltd Solutions,Cybersecurity,Implementation,LinkedIn,1232508697.68,27.57,Cybersecurity,8,Submitted,True,2021-08-10,2023-01-18,High
T2021110,Galloway-Wyatt Technologies,IoT,Optimization,LinkedIn,686815133.27,43.57,IoT,6,Awarded,True,2021-02-23,2022-08-01,Low
T2021111,Abbott-Munoz Systems,Digital Transformation,Strategy,Email,741318205.07,25.43,Blockchain,8,Submitted,True,2023-04-01,2021-06-22,Low
T2021112,"Ferrell, Rice and Maddox Systems",Cloud Migration,Assessment,Referral,1667248430.44,22.64,IoT,11,Awarded,True,2023-01-28,2022-10-31,High
T2021113,"Ross, Robinson and Bright Solutions",ERP Implementation,Implementation,Referral,870372505.84,20.32,ERP Implementation,10,Awarded,True,2021-06-17,2022-08-11,Medium
T2021114,"Reid, Ferguson and Sanchez Technologies",IoT,Implementation,Conference,1474573457.65,28.42,IoT,7,Awarded,True,2023-05-31,2021-09-15,Medium
T2021115,Rodriguez-Graham Systems,AI/ML,Strategy,LinkedIn,1283289905.14,31.35,AI/ML,6,Submitted,False,2021-04-23,2021-02-15,Medium
T2021116,"Gardner, Robinson and Lawrence Technologies",Digital Transformation,Strategy,LinkedIn,989069514.42,22.23,AI/ML,4,Awarded,True,2021-09-22,2023-03-20,Medium
T2021117,Blake and Sons Solutions,Data Analytics,Strategy,Referral,1454504290.46,38.72,Data Analytics,8,Awarded,False,2023-06-13,2021-03-10,Medium
T2021118,AI Nexus,IoT,Managed Services,Conference,1271790482.67,21.87,AI/ML,9,Submitted,True,2022-10-28,2022-01-17,High
T2021119,Carlson-Cruz Labs,Cybersecurity,Strategy,Conference,1553047985.81,26.69,Cybersecurity,6,Awarded,True,2023-06-12,2023-05-01,Medium
T2021120,"Flowers, Martin and Kelly Technologies",ERP Implementation,Strategy,LinkedIn,1161913842.25,16.04,Digital Transformation,10,Awarded,True,2023-11-11,2022-03-04,High
T2021121,Williams and Sons Technologies,Cloud Migration,Implementation,Email,1559267251.42,27.52,Cloud Migration,10,Submitted,True,2021-12-22,2021-12-10,High
T2021122,Frazier Inc Systems,Data Analytics,Assessment,Email,1087780162.27,22.0,Data Analytics,10,Awarded,False,2023-07-09,2024-04-01,Medium
T2021123,Carlson-Cruz Labs,Cybersecurity,Implementation,Email,988556651.21,27.63,Cybersecurity,6,Awarded,True,2022-09-13,2022-08-16,Medium
T2021124,Williams and Sons Technologies,Cloud Migration,Strategy,LinkedIn,1357960518.34,33.83,Cloud Migration,15,Submitted,False,2021-06-07,2021-08-03,Medium
T2021125,"Walter, Edwards and Rios Technologies",Data Analytics,Assessment,Conference,1583833265.47,21.7,Data Analytics,3,Lost,True,2022-01-21,2022-11-20,Medium
T2021126,"Walter, Edwards and Rios Technologies",Data Analytics,Optimization,LinkedIn,1639233935.49,38.61,Data Analytics,4,Lost,True,2021-06-22,2023-11-30,Medium
T2021127,DataMind Analytics,Data Analytics,Training,Conference,1039998447.3,20.4,Data Analytics,10,Awarded,True,2023-02-03,2022-09-02,Medium
T2021128,"Mcclure, Ward and Lee Systems",Data Analytics,Strategy,LinkedIn,972571778.83,34.33,Data Analytics,8,Awarded,True,2023-03-03,2022-09-04,Medium
T2021129,"Dyer, Potter and Mack Solutions",Cybersecurity,Integration,LinkedIn,1517219916.77,32.22,AI/ML,8,Submitted,True,2023-03-14,2021-10-22,Medium
T2021130,BlockChain Innovations,Blockchain,Optimization,LinkedIn,1181319265.09,35.37,Blockchain,8,Submitted,False,2023-12-15,2021-08-10,Medium
T2021131,"Reid, Ferguson and Sanchez Technologies",IoT,Implementation,LinkedIn,884416785.75,15.79,IoT,7,Lost,True,2023-09-23,2022-02-28,Medium
T2021132,"Rodriguez, Figueroa and Sanchez Technologies",Cloud Migration,Training,LinkedIn,827086898.62,23.74,Cloud Migration,9,Awarded,False,2023-12-15,2021-04-18,Medium
T2021133,Carlson-Cruz Labs,Cybersecurity,Implementation,LinkedIn,783054507.81,38.16,Cybersecurity,5,Lost,False,2021-12-06,2023-07-16,Low
T2021134,Galloway-Wyatt Technologies,IoT,Training,LinkedIn,1250710281.61,29.8,IoT,10,Submitted,False,2023-07-09,2022-05-25,Medium
T2021135,Dudley Group Systems,Blockchain,Managed Services,Email,781711757.2,47.21,IoT,6,Awarded,True,2023-06-22,2023-09-03,High
T2021136,James Group Systems,ERP Implementation,Optimization,Conference,1206301853.79,25.82,ERP Implementation,10,Submitted,True,2022-05-28,2021-05-17,Medium
T2021137,Galloway-Wyatt Technologies,IoT,Managed Services,LinkedIn,1381431781.74,27.09,IoT,4,Submitted,True,2023-07-10,2023-12-18,Low
T2021138,"Reid, Ferguson and Sanchez Technologies",IoT,Managed Services,Email,1004434180.9,33.0,IoT,10,Lost,True,2023-03-23,2023-11-25,Medium
T2021139,James Group Systems,ERP Implementation,Strategy,LinkedIn,1071324103.12,20.35,ERP Implementation,13,Lost,True,2021-10-27,2021-11-08,Low
T2021140,Perez Inc Solutions,AI/ML,Assessment,LinkedIn,1466866722.11,35.57,AI/ML,7,Awarded,False,2021-02-08,2022-07-09,Medium
T2021141,Doyle Ltd Solutions,Digital Transformation,Strategy,Referral,829563842.22,29.93,Digital Transformation,9,Awarded,True,2021-09-07,2021-05-08,Medium
T2021142,"Ferrell, Rice and Maddox Systems",Blockchain,Training,LinkedIn,669558393.68,50.67,IoT,10,Awarded,True,2022-05-11,2021-11-21,Medium
T2021143,TechNovate Solutions,Digital Transformation,Implementation,LinkedIn,1434741371.4,21.24,Digital Transformation,9,Awarded,True,2023-01-09,2021-06-18,High
T2021144,Baker and Sons Systems,Blockchain,Assessment,Email,997682276.17,41.4,Blockchain,3,Lost,True,2023-03-04,2023-03-06,Medium
T2021145,CloudScape Technologies,Cloud Migration,Integration,LinkedIn,1037266784.3,23.96,Cloud Migration,11,Awarded,True,2022-11-12,2021-10-31,Low
T2021146,Baker and Sons Systems,Blockchain,Integration,Conference,1551729431.43,37.05,Blockchain,10,Awarded,True,2021-10-04,2021-06-09,High
T2021147,"Watts, Robinson and Nguyen Technologies",Data Analytics,Strategy,LinkedIn,976887837.46,29.79,Data Analytics,6,Awarded,True,2023-03-27,2024-02-17,Medium
T2021148,DataMind Analytics,Data Analytics,Optimization,LinkedIn,1318743379.97,32.5,Data Analytics,3,Awarded,True,2023-01-24,2023-07-14,High
T2021149,"Romero, Gonzalez and Brooks Labs",Blockchain,Implementation,Email,1452633468.9,44.06,Blockchain,8,Awarded,True,2023-11-30,2022-07-31,High
T2021150,Harrell LLC Solutions,ERP Implementation,Training,Conference,1016570929.67,15.86,ERP Implementation,10,Submitted,True,2022-11-03,2022-09-28,Medium
T2021151,Burton Ltd Solutions,Cybersecurity,Assessment,Conference,1444264971.15,33.74,Cybersecurity,6,Submitted,False,2022-12-24,2023-07-10,Medium
T2021152,SecureNet Systems,Cybersecurity,Training,Conference,1245687588.05,29.9,Cybersecurity,6,Lost,True,2021-03-05,2021-11-19,High
T2021153,Rodriguez-Graham Systems,AI/ML,Optimization,LinkedIn,1007042709.44,41.39,AI/ML,5,Awarded,True,2021-03-08,2021-12-11,Medium
T2021154,Galloway-Wyatt Technologies,IoT,Training,Referral,1131825307.99,34.74,IoT,5,Awarded,True,2022-07-25,2022-06-26,High
T2021155,CloudScape Technologies,Blockchain,Managed Services,LinkedIn,1672170524.22,38.91,Cloud Migration,4,Awarded,False,2022-03-16,2022-09-07,Medium
T2021156,Morales-Jones Technologies,Digital Transformation,Assessment,LinkedIn,1535018346.12,26.13,Digital Transformation,4,Submitted,False,2021-06-29,2022-11-16,Medium
T2021157,"Baker, Mason and White Solutions",Cloud Migration,Optimization,Conference,1210206001.78,31.53,Cloud Migration,12,Submitted,False,2021-12-23,2023-02-10,Medium
T2021158,ERP Masters,Cybersecurity,Strategy,LinkedIn,1095717516.69,33.41,ERP Implementation,7,Awarded,True,2023-08-16,2024-03-05,Low
T2021159,BlockChain Innovations,Blockchain,Training,LinkedIn,1156555886.94,41.62,Blockchain,10,Awarded,True,2021-06-01,2021-10-14,High
T2021160,Frazier Inc Systems,Data Analytics,Implementation,Conference,1437688405.31,28.48,Data Analytics,8,Lost,False,2022-01-08,2021-10-22,Medium
T2021161,SecureNet Systems,Cybersecurity,Managed Services,LinkedIn,2252871499.96,25.91,Cybersecurity,5,Lost,True,2023-11-29,2022-09-04,High
T2021162,Garcia-James Solutions,IoT,Implementation,Email,835464733.58,26.97,IoT,7,Awarded,True,2021-07-11,2023-11-26,Medium
T2021163,"Snyder, Campos and Callahan Technologies",Cybersecurity,Integration,LinkedIn,1524990606.28,35.79,Digital Transformation,8,Lost,True,2021-03-26,2021-03-30,Low
T2021164,Frazier Inc Systems,Digital Transformation,Training,Conference,1452074312.96,25.12,Data Analytics,9,Awarded,True,2022-08-17,2022-10-11,Medium
T2021165,Rodriguez-Graham Systems,AI/ML,Implementation,LinkedIn,918799943.73,34.94,AI/ML,4,Awarded,True,2022-02-22,2022-12-28,Medium
T2021166,Arnold Ltd Solutions,ERP Implementation,Assessment,Referral,981513931.36,20.38,Digital Transformation,13,Submitted,True,2021-08-06,2022-11-15,Medium
T2021167,ERP Masters,ERP Implementation,Strategy,LinkedIn,1150702042.19,24.88,ERP Implementation,9,Submitted,True,2023-05-07,2022-06-23,High
T2021168,"Mcclain, Miller and Henderson Solutions",ERP Implementation,Assessment,LinkedIn,1092068593.1,15.87,Data Analytics,10,Lost,True,2022-09-24,2023-11-15,Low
T2021169,"Flowers, Martin and Kelly Technologies",Digital Transformation,Training,Email,1015490834.3,24.06,Digital Transformation,6,Awarded,True,2023-10-11,2023-09-21,Medium
T2021170,TechNovate Solutions,IoT,Integration,LinkedIn,1293815500.92,27.89,Digital Transformation,7,Awarded,True,2021-04-03,2023-05-01,Low
T2021171,"Hoffman, Baker and Richards Systems",Cybersecurity,Assessment,Conference,1032937298.07,31.22,Cybersecurity,4,Awarded,False,2022-07-27,2021-10-01,Low
T2021172,IoT Connect,IoT,Training,Referral,1289306430.8,29.64,IoT,8,Lost,False,2022-02-12,2023-12-09,Medium
T2021173,DataMind Analytics,Data Analytics,Optimization,LinkedIn,788400010.59,20.76,Data Analytics,8,Awarded,True,2023-11-22,2021-11-13,Medium
T2021174,Carlson-Cruz Labs,Cybersecurity,Integration,LinkedIn,1128010313.85,26.41,Cybersecurity,8,Lost,True,2023-11-05,2023-12-10,Medium
